parameter,value
brakes_DATA_MAX_TORQUE,664.72408
brakes_DATA_FRONT_SHARE,0.71716
drivetrain_DIFFERENTIAL_POWER,0.95169
drivetrain_DIFFERENTIAL_COAST,0.93199
drivetrain_DIFFERENTIAL_PRELOAD,20.91914
suspensions_BASIC_WHEELBASE,1.74352
suspensions_BASIC_CG_LOCATION,0.38805
suspensions_ARB_FRONT,71364.63034
suspensions_ARB_REAR,63392.96008
suspensions_FRONT_TRACK,1.3281
suspensions_FRONT_ROD_LENGTH,0.00509
suspensions_FRONT_TOE_OUT,-0.00123
suspensions_FRONT_STATIC_CAMBER,-1.72612
suspensions_FRONT_SPRING_RATE,34363.67389
suspensions_FRONT_BUMP_STOP_RATE,92985.66683
suspensions_FRONT_PACKER_RANGE,0.05037
suspensions_FRONT_DAMP_BUMP,3194.51241
suspensions_FRONT_DAMP_FAST_BUMP,1837.58324
suspensions_FRONT_DAMP_REBOUND,2072.03356
suspensions_FRONT_DAMP_FAST_REBOUND,2657.34123
suspensions_REAR_TRACK,1.02103
suspensions_REAR_ROD_LENGTH,0.02789
suspensions_REAR_TOE_OUT,0.0027
suspensions_REAR_STATIC_CAMBER,-0.08182
suspensions_REAR_SPRING_RATE,46112.24703
suspensions_REAR_BUMP_STOP_RATE,136605.05542
suspensions_REAR_PACKER_RANGE,0.07908
suspensions_REAR_DAMP_BUMP,3545.33593
suspensions_REAR_DAMP_FAST_BUMP,1737.22807
suspensions_REAR_DAMP_REBOUND,4494.07068
suspensions_REAR_DAMP_FAST_REBOUND,2230.10272
tyres_FRONT_PRESSURE_STATIC,8.06346
tyres_REAR_PRESSURE_STATIC,16.59406
