File Name,brakes_DATA_MAX_TORQUE,brakes_DATA_FRONT_SHARE,drivetrain_DIFFERENTIAL_POWER,drivetrain_DIFFERENTIAL_COAST,drivetrain_DIFFERENTIAL_PRELOAD,suspensions_BASIC_WHEELBASE,suspensions_BASIC_CG_LOCATION,suspensions_ARB_FRONT,suspensions_ARB_REAR,suspensions_FRONT_TRACK,suspensions_FRONT_ROD_LENGTH,suspensions_FRONT_TOE_OUT,suspensions_FRONT_STATIC_CAMBER,suspensions_FRONT_SPRING_RATE,suspensions_FRONT_BUMP_STOP_RATE,suspensions_FRONT_PACKER_RANGE,suspensions_FRONT_DAMP_BUMP,suspensions_FRONT_DAMP_FAST_BUMP,suspensions_FRONT_DAMP_REBOUND,suspensions_FRONT_DAMP_FAST_REBOUND,suspensions_REAR_TRACK,suspensions_REAR_ROD_LENGTH,suspensions_REAR_TOE_OUT,suspensions_REAR_STATIC_CAMBER,suspensions_REAR_SPRING_RATE,suspensions_REAR_BUMP_STOP_RATE,suspensions_REAR_PACKER_RANGE,suspensions_REAR_DAMP_BUMP,suspensions_REAR_DAMP_FAST_BUMP,suspensions_REAR_DAMP_REBOUND,suspensions_REAR_DAMP_FAST_REBOUND,tyres_FRONT_PRESSURE_STATIC,tyres_REAR_PRESSURE_STATIC,Fastest Lap
input0_00.csv,584.97838,0.68159,0.04899,0.25441,11.56795,1.64804,0.42788,107461.69122,116229.74284,1.22661,0.01533,-0.00028,-2.16493,20397.80116,158842.11556,0.11123,1953.36715,1579.82634,2076.67589,2431.08915,1.28738,0.02285,0.00317,-1.7086,56670.77262,104990.04453,0.10876,1198.9936,503.80323,2101.67425,1153.26332,15.86391,11.37812,40306
input0_01.csv,504.22646,0.65816,0.1273,0.05902,17.96249,1.78907,0.59936,144298.87666,38378.25963,1.03274,0.00605,0.00147,-1.82881,39151.1784,103140.29841,0.06196,3378.8091,2536.47094,2924.77146,790.33024,1.38703,0.02456,0.00076,-0.62184,39718.33932,85258.61539,0.07749,3047.50851,3468.7606,1714.51158,2691.05523,18.67525,12.54306,41119
input0_02.csv,559.25235,0.79939,0.22576,0.56922,16.88803,1.71478,0.51513,10370.47252,93092.18708,1.32977,0.0145,0.00156,-2.82367,38901.41619,160399.8089,0.08131,3158.71911,2279.12752,3949.10207,2133.12143,1.23234,0.02967,0.0031,0.49993,61440.2859,71116.92792,0.06087,3209.06951,3085.15136,2820.72567,2366.8121,17.13329,14.82224,41851
input0_03.csv,666.49156,0.66707,0.90209,0.21448,22.36049,1.89264,0.51827,66533.59626,58038.35129,1.38023,0.017,0.00151,-2.6014,27936.24779,133201.37802,0.08859,3318.49058,1095.12424,3284.6256,3200.97452,1.22811,0.02777,0.00158,-0.85476,50433.37253,138013.07784,0.07931,3940.35868,1197.0191,3506.68055,1714.07434,11.07106,14.11274,40439
input0_04.csv,542.52156,0.5356,0.18483,0.46672,12.73195,1.55655,0.39445,116731.25335,111316.07174,1.05307,0.02472,0.00076,-1.81617,33319.53718,194723.41597,0.06438,1463.33742,883.97802,3335.99431,1551.53845,1.17731,0.01657,-0.00045,-1.75216,64507.25763,194465.50621,0.10201,3730.66473,2939.25603,1537.40733,1516.93022,15.9462,7.48544,40841
input0_05.csv,730.29848,0.61575,0.06359,0.64174,3.81777,1.72474,0.4783,71255.11431,114673.73996,1.30944,0.00452,0.00216,0.08738,36732.73529,57431.69461,0.11355,2536.59269,1175.5993,2080.08929,1461.52805,1.06547,0.02249,0.00384,-1.13211,25720.81649,61829.6764,0.07256,1130.49328,3482.64828,2316.37047,2525.5573,19.0497,7.60754,41764
input0_06.csv,752.08315,0.75881,0.30576,0.89537,7.97927,1.55328,0.38959,64554.31918,101613.56953,1.15552,0.02445,0.00021,-0.12679,27975.76718,147800.72459,0.05047,2500.95846,1005.27419,1811.34167,549.66313,1.05849,0.01806,-5e-05,-0.58362,41686.70293,70652.92167,0.11752,1571.2642,790.0834,4475.43916,3158.38842,15.86859,19.8595,40649
input0_07.csv,404.58805,0.75162,0.21256,0.07759,18.80768,1.58944,0.53279,32748.5488,65548.18589,1.07284,0.01029,0.00192,-1.66186,21849.57038,167397.36095,0.07936,1722.99802,2938.6766,1865.94156,971.73911,1.21952,0.00607,-0.00124,0.17036,37026.63708,77489.68222,0.11842,1088.58982,743.46073,3634.67541,2305.74462,16.73223,13.23161,40841
input0_08.csv,461.67141,0.77293,0.18804,0.13361,8.09777,1.60096,0.55523,55124.7662,35996.12435,1.00256,0.02204,0.00086,0.30383,40404.39328,188120.05307,0.11733,1071.54511,1485.59174,3766.94158,2263.85587,1.26994,0.0185,0.00085,-2.53584,64239.73199,116536.26778,0.09178,1083.37799,1628.80036,1581.50143,3092.37689,8.12552,8.76294,41400
input0_09.csv,597.18757,0.7475,0.56608,0.25316,9.78658,1.89218,0.47658,2888.93588,88446.58263,1.15394,0.02415,0.00125,-1.27085,22723.97022,159907.52197,0.10465,2939.29811,3301.09687,2874.42982,1486.12702,1.27296,0.02432,0.00299,-2.67156,49837.96285,190045.03644,0.09085,3562.34219,525.58041,4190.01873,1111.94006,9.13666,15.72955,41863
input0_10.csv,404.67296,0.68533,0.36535,0.12652,23.13682,1.6569,0.56981,54928.21506,99241.02041,1.2873,0.00505,-0.00038,-1.64296,40363.30104,155314.72826,0.0409,1944.38342,2723.52239,2554.83572,3375.39087,1.23558,0.00536,0.00073,-2.59556,37483.25602,64155.59613,0.07298,3999.25314,3363.71093,1933.52925,2256.09291,10.01387,19.44935,39897
input0_11.csv,449.48395,0.59108,0.89461,0.47134,8.33351,1.78048,0.41827,62524.89731,85240.55424,1.3524,0.01905,0.0,-1.60043,33465.06187,124519.51094,0.07546,1966.28313,2112.10827,3207.21805,2822.05894,1.23744,0.02641,0.0014,0.28219,57431.43406,168890.24185,0.09539,1212.32081,1516.47131,1772.84342,2039.67283,13.6988,11.02066,40191
input0_12.csv,725.81183,0.56957,0.53081,0.6858,7.24723,1.84623,0.41815,34452.99415,92439.81635,1.35282,0.02041,0.00071,0.08194,29613.46703,100059.00859,0.06872,1672.38053,3303.86797,3664.0234,3218.76025,1.20891,0.00696,-0.00099,-1.47932,38636.11262,94056.40088,0.07515,2583.50263,3102.91744,3977.31132,2347.41942,16.95919,17.08256,40069
input0_13.csv,680.69337,0.78801,0.19406,0.2589,1.33104,1.71315,0.35238,8856.77425,149351.40601,1.18183,0.00264,0.00142,-2.28133,36263.17917,95362.57085,0.04975,1918.19162,3114.32861,2371.93386,1298.99798,1.01458,0.00093,-0.00043,-2.26245,34178.21079,199431.50545,0.09631,2354.17467,527.08445,2954.1366,2111.87676,15.18241,16.39999,41284
input0_14.csv,734.50923,0.50567,0.13714,0.7292,20.64774,1.75545,0.41828,98292.74303,65041.92753,1.29457,0.00074,0.00323,-2.74706,23279.61798,51065.38838,0.04241,2386.92546,2197.83658,3444.0874,2640.99496,1.19641,0.01522,0.00392,-0.0857,47267.9084,138973.85153,0.08512,2947.84794,3159.16189,3485.33395,689.02856,17.08241,8.13701,46205
input0_15.csv,697.26959,0.60519,0.3265,0.5255,9.88814,1.60477,0.56138,21869.11706,139349.13614,1.20658,0.01258,0.00245,-2.69161,27011.40209,51560.09302,0.04927,2271.28817,1316.04557,1936.00338,875.5794,1.19863,0.00244,0.00017,-2.80782,31442.48092,58423.02188,0.04692,3659.06404,3023.51199,2149.58624,656.13602,8.8364,16.98833,41522
input0_16.csv,484.11449,0.84127,0.07049,0.83219,4.55439,1.56581,0.48777,56868.15645,33555.97081,1.26171,0.01683,-0.00031,0.28929,29982.04514,161805.1892,0.10005,1825.33932,2762.72136,1810.99733,3027.95992,1.22241,0.01432,0.00104,-1.95986,54257.9394,195690.62999,0.11889,3980.61208,1807.3525,3278.20074,2861.04179,11.35026,7.15806,39791
input0_17.csv,650.9829,0.6309,0.77704,0.69602,14.30379,1.82306,0.50146,41622.17863,31878.18447,1.3261,0.00137,0.00245,-2.89131,31614.89913,72108.36973,0.0614,1864.07985,1564.98359,1883.9747,1953.46821,1.15922,0.00454,0.00017,-2.22888,25167.26719,62062.23536,0.07875,2909.68649,2980.08229,3487.05053,1646.025,16.15599,12.40084,41682
input0_18.csv,762.31654,0.5539,0.34413,0.37812,6.35904,1.59324,0.41527,76476.69461,41010.89235,1.09709,0.0284,0.00232,-1.66621,20375.94658,86599.93646,0.10735,1701.69916,1180.6038,2378.22013,537.97335,1.3812,0.02175,-0.00106,-0.66515,42653.2948,88353.26466,0.07874,3260.63048,2650.95042,2844.19769,1610.26507,14.88057,18.07541,40588
input0_19.csv,432.06843,0.70837,0.3226,0.90718,21.09402,1.71136,0.38936,35578.4807,70880.85946,1.13445,0.02936,0.00335,-2.3984,34705.1649,181863.99096,0.09258,3160.03791,3158.9101,2597.61163,3014.55689,1.2243,0.0288,0.00054,-0.51853,28889.64087,122015.8477,0.0685,1777.48636,1685.92231,2195.93725,2952.25338,10.45806,9.02891,43802
input0_20.csv,792.95311,0.71992,0.47965,0.91846,1.69815,1.85158,0.5656,37139.24167,61384.01034,1.3163,0.00028,-0.00027,-1.74287,39527.91634,136814.26576,0.0618,1406.21296,905.10669,2845.4325,2111.31737,1.13239,0.00472,-0.00074,-2.30971,32906.88327,179892.72234,0.10188,2260.05386,2624.54919,2260.30078,3473.82811,9.58087,19.69421,39739
input0_21.csv,506.17333,0.70343,0.4292,0.81549,1.89899,1.71182,0.48541,123199.88134,114999.93222,1.30021,0.00525,0.00241,-2.69562,31241.94998,169978.29077,0.05059,2642.06661,894.55528,3022.03413,3270.01802,1.39144,0.02168,-0.00028,-1.09215,64425.32924,184661.25296,0.10588,3043.49391,3384.45013,4274.70867,2746.97312,17.89771,8.24381,41404
input0_22.csv,548.65149,0.78008,0.59939,0.71728,4.01328,1.55709,0.47309,41067.14445,149916.24946,1.25946,0.026,0.00358,-1.69993,42282.54719,92692.41752,0.09646,1373.85098,2244.44583,1886.38105,2363.63166,1.30518,0.01912,-0.0015,0.03044,24411.0831,196851.62833,0.04527,2471.58548,526.71588,4410.40304,1205.86404,12.0427,6.21082,47012
input0_23.csv,747.10214,0.54059,0.81374,0.76765,23.93309,1.78919,0.44313,63960.03266,42089.2595,1.04784,0.00819,-0.00052,-2.25263,36843.89156,190365.5004,0.09848,3459.73274,1330.54508,3390.31466,2481.59019,1.33054,0.00347,0.00195,-1.38983,46101.47134,97334.35611,0.11343,3291.32524,1261.911,4101.7648,2926.57179,7.58017,15.57597,41040
input0_24.csv,469.76766,0.60059,0.68176,0.68551,5.07898,1.83282,0.57426,28553.79245,73324.91316,1.07069,0.02421,0.00076,0.0882,28982.33177,148949.19789,0.04852,1413.26715,2794.453,2256.07479,1814.37664,1.03698,0.00397,-0.00048,-0.20239,59369.2292,178725.92006,0.10414,1314.70925,2362.81597,3093.43455,3441.95272,8.46643,16.94134,40762
input0_25.csv,593.97894,0.53671,0.19168,0.57824,5.1364,1.64448,0.37203,59958.02781,122619.79812,1.36135,0.01611,0.00184,-1.35361,27518.84221,108935.79353,0.06842,1270.1265,3187.50235,3773.94707,613.70753,1.20405,0.00022,0.00081,-2.7825,56806.69369,91781.24086,0.11991,2740.80924,553.62396,2495.47733,688.95299,6.82856,14.24009,40982
